time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position
1783297493.547899,0.000000,0.698100,1,0,1.000000,0.000000,0.000000,0.000000
1783297493.548899,0.000000,0.698100,1,0,1.000000,0.000000,0.024636,0.000025
1783297493.549899,0.000000,0.698100,1,0,1.000000,0.000000,0.048305,0.000073
1783297493.550899,0.000000,0.698100,1,0,1.000000,0.000000,0.071047,0.000144
1783297493.551899,0.000000,0.698100,1,0,1.000000,0.000000,0.092897,0.000237
1783297493.552899,0.000000,0.698100,1,0,1.000000,0.000000,0.113890,0.000351
1783297493.553899,0.000000,0.698100,1,0,1.000000,0.000000,0.134060,0.000485
1783297493.554899,0.000000,0.698100,1,0,1.000000,0.000000,0.153439,0.000638
1783297493.555899,0.000000,0.698100,1,0,1.000000,0.000000,0.172058,0.000810
1783297493.556899,0.000000,0.698100,1,0,1.000000,0.000000,0.189947,0.001000
1783297493.557899,0.000000,0.698100,1,0,1.000000,0.000000,0.207135,0.001207
1783297493.558899,0.000000,0.698100,1,0,1.000000,0.000000,0.223648,0.001431
1783297493.559899,0.000000,0.698100,1,0,1.000000,0.000000,0.239515,0.001671
1783297493.560899,0.000000,0.698100,1,0,1.000000,0.000000,0.254759,0.001925
1783297493.561899,0.000000,0.698100,1,0,1.000000,0.000000,0.269405,0.002195
1783297493.562899,0.000000,0.698100,1,0,1.000000,0.000000,0.283477,0.002478
1783297493.563899,0.000000,0.698100,1,0,1.000000,0.000000,0.296997,0.002775
1783297493.564899,0.000000,0.698100,1,0,1.000000,0.000000,0.309988,0.003085
1783297493.565899,0.000000,0.698100,1,0,1.000000,0.000000,0.322468,0.003408
1783297493.566899,0.000000,0.698100,1,0,1.000000,0.000000,0.334460,0.003742
1783297493.567899,0.000000,0.698100,1,0,1.000000,0.000000,0.345981,0.004088
1783297493.568899,0.000000,0.698100,1,0,1.000000,0.000000,0.357051,0.004445
1783297493.569899,0.000000,0.698100,1,0,1.000000,0.000000,0.367686,0.004813
1783297493.570899,0.000000,0.698100,1,0,1.000000,0.000000,0.377904,0.005191
1783297493.571899,0.000000,0.698100,1,0,1.000000,0.000000,0.387722,0.005578
1783297493.572899,0.000000,0.698100,1,0,1.000000,0.000000,0.397155,0.005976
1783297493.573899,0.000000,0.698100,1,0,1.000000,0.000000,0.406218,0.006382
1783297493.574899,0.000000,0.698100,1,0,1.000000,0.000000,0.414925,0.006797
1783297493.575899,0.000000,0.698100,1,0,1.000000,0.000000,0.423292,0.007220
1783297493.576899,0.000000,0.698100,1,0,1.000000,0.000000,0.431330,0.007651
1783297493.577899,0.000000,0.698100,1,0,1.000000,0.000000,0.439053,0.008090
1783297493.578899,0.000000,0.698100,1,0,1.000000,0.000000,0.446473,0.008537
1783297493.579899,0.000000,0.698100,1,0,1.000000,0.000000,0.453602,0.008991
1783297493.580899,0.000000,0.698100,1,0,1.000000,0.000000,0.460451,0.009451
1783297493.581899,0.000000,0.698100,1,0,1.000000,0.000000,0.467033,0.009918
1783297493.582899,0.000000,0.698100,1,0,1.000000,0.000000,0.473356,0.010391
1783297493.583899,0.000000,0.698100,1,0,1.000000,0.000000,0.479431,0.010871
1783297493.584899,0.000000,0.698100,1,0,1.000000,0.000000,0.485267,0.011356
1783297493.585899,0.000000,0.698100,1,0,1.000000,0.000000,0.490875,0.011847
1783297493.586899,0.000000,0.698100,1,0,1.000000,0.000000,0.496264,0.012343
1783297493.587899,0.000000,0.698100,1,0,1.000000,0.000000,0.501440,0.012845
1783297493.588899,0.000000,0.698100,1,0,1.000000,0.000000,0.506414,0.013351
1783297493.589899,0.000000,0.698100,1,0,1.000000,0.000000,0.511193,0.013862
1783297493.590899,0.000000,0.698100,1,0,1.000000,0.000000,0.515784,0.014378
1783297493.591899,0.000000,0.698100,1,0,1.000000,0.000000,0.520196,0.014898
1783297493.592899,0.000000,0.698100,1,0,1.000000,0.000000,0.524434,0.015423
1783297493.593899,0.000000,0.698100,1,0,1.000000,0.000000,0.528507,0.015951
1783297493.594899,0.000000,0.698100,1,0,1.000000,0.000000,0.532419,0.016484
1783297493.595899,0.000000,0.698100,1,0,1.000000,0.000000,0.536178,0.017020
1783297493.596899,0.000000,0.698100,1,0,1.000000,0.000000,0.539790,0.017560
1783297493.597899,0.000000,0.698100,1,0,1.000000,0.000000,0.543260,0.018103
1783297493.598899,0.000000,0.698100,1,0,1.000000,0.000000,0.546594,0.018649
1783297493.599899,0.000000,0.698100,1,0,1.000000,0.000000,0.549797,0.019199
1783297493.600899,0.000000,0.698100,1,0,1.000000,0.000000,0.552875,0.019752
1783297493.601899,0.000000,0.698100,1,0,1.000000,0.000000,0.555832,0.020308
1783297493.602899,0.000000,0.698100,1,0,1.000000,0.000000,0.558673,0.020867
1783297493.603899,0.000000,0.698100,1,0,1.000000,0.000000,0.561403,0.021428
1783297493.604899,0.000000,0.698100,1,0,1.000000,0.000000,0.564026,0.021992
1783297493.605899,0.000000,0.698100,1,0,1.000000,0.000000,0.566546,0.022559
1783297493.606899,0.000000,0.698100,1,0,1.000000,0.000000,0.568967,0.023128
1783297493.607899,0.000000,0.698100,1,0,1.000000,0.000000,0.571293,0.023699
1783297493.608899,0.000000,0.698100,1,0,1.000000,0.000000,0.573528,0.024272
1783297493.609899,0.000000,0.698100,1,0,1.000000,0.000000,0.575675,0.024848
1783297493.610899,0.000000,0.698100,1,0,1.000000,0.000000,0.577738,0.025426
1783297493.611899,0.000000,0.698100,1,0,1.000000,0.000000,0.579720,0.026005
1783297493.612899,0.000000,0.698100,1,0,1.000000,0.000000,0.581625,0.026587
1783297493.613899,0.000000,0.698100,1,0,1.000000,0.000000,0.583454,0.027171
1783297493.614899,0.000000,0.698100,1,0,1.000000,0.000000,0.585212,0.027756
1783297493.615899,0.000000,0.698100,1,0,1.000000,0.000000,0.586901,0.028343
1783297493.616899,0.000000,0.698100,1,0,1.000000,0.000000,0.588524,0.028931
1783297493.617899,0.000000,0.698100,1,0,1.000000,0.000000,0.590084,0.029521
1783297493.618899,0.000000,0.698100,1,0,1.000000,0.000000,0.591582,0.030113
1783297493.619899,0.000000,0.698100,1,0,1.000000,0.000000,0.593021,0.030706
1783297493.620899,0.000000,0.698100,1,0,1.000000,0.000000,0.594404,0.031300
1783297493.621899,0.000000,0.698100,1,0,1.000000,0.000000,0.595733,0.031896
1783297493.622899,0.000000,0.698100,1,0,1.000000,0.000000,0.597009,0.032493
1783297493.623899,0.000000,0.698100,1,0,1.000000,0.000000,0.598236,0.033091
1783297493.624899,0.000000,0.698100,1,0,1.000000,0.000000,0.599414,0.033691
1783297493.625899,0.000000,0.698100,1,0,1.000000,0.000000,0.600546,0.034291
1783297493.626899,0.000000,0.698100,1,0,1.000000,0.000000,0.601634,0.034893
1783297493.627899,0.000000,0.698100,1,0,1.000000,0.000000,0.602679,0.035496
1783297493.628899,0.000000,0.698100,1,0,1.000000,0.000000,0.603684,0.036099
1783297493.629899,0.000000,0.698100,1,0,1.000000,0.000000,0.604648,0.036704
1783297493.630899,0.000000,0.698100,1,0,1.000000,0.000000,0.605575,0.037309
1783297493.631899,0.000000,0.698100,1,0,1.000000,0.000000,0.606466,0.037916
1783297493.632899,0.000000,0.698100,1,0,1.000000,0.000000,0.607322,0.038523
1783297493.633899,0.000000,0.698100,1,0,1.000000,0.000000,0.608144,0.039131
1783297493.634899,0.000000,0.698100,1,0,1.000000,0.000000,0.608934,0.039740
1783297493.635899,0.000000,0.698100,1,0,1.000000,0.000000,0.609693,0.040350
1783297493.636899,0.000000,0.698100,1,0,1.000000,0.000000,0.610422,0.040960
1783297493.637899,0.000000,0.698100,1,0,1.000000,0.000000,0.611123,0.041572
1783297493.638899,0.000000,0.698100,1,0,1.000000,0.000000,0.611796,0.042183
1783297493.639899,0.000000,0.698100,1,0,1.000000,0.000000,0.612443,0.042796
1783297493.640899,0.000000,0.698100,1,0,1.000000,0.000000,0.613064,0.043409
1783297493.641899,0.000000,0.698100,1,0,1.000000,0.000000,0.613661,0.044023
1783297493.642899,0.000000,0.698100,1,0,1.000000,0.000000,0.614235,0.044637
1783297493.643899,0.000000,0.698100,1,0,1.000000,0.000000,0.614786,0.045252
1783297493.644899,0.000000,0.698100,1,0,1.000000,0.000000,0.615315,0.045867
1783297493.645899,0.000000,0.698100,1,0,1.000000,0.000000,0.615824,0.046483
1783297493.646899,0.000000,0.698100,1,0,1.000000,0.000000,0.616313,0.047099
1783297493.647899,0.000000,0.698100,1,0,1.000000,0.000000,0.616782,0.047716
1783297493.648899,0.000000,0.698100,1,0,1.000000,0.000000,0.617234,0.048333
1783297493.649899,0.000000,0.698100,1,0,1.000000,0.000000,0.617667,0.048951
1783297493.650899,0.000000,0.698100,1,0,1.000000,0.000000,0.618084,0.049569
1783297493.651899,0.000000,0.698100,1,0,1.000000,0.000000,0.618484,0.050187
1783297493.652899,0.000000,0.698100,1,0,1.000000,0.000000,0.618868,0.050806
1783297493.653899,0.000000,0.698100,1,0,1.000000,0.000000,0.619238,0.051425
1783297493.654899,0.000000,0.698100,1,0,1.000000,0.000000,0.619593,0.052045
1783297493.655899,0.000000,0.698100,1,0,1.000000,0.000000,0.619934,0.052665
1783297493.656899,0.000000,0.698100,1,0,1.000000,0.000000,0.620261,0.053285
1783297493.657899,0.000000,0.698100,1,0,1.000000,0.000000,0.620576,0.053906
1783297493.658899,0.000000,0.698100,1,0,1.000000,0.000000,0.620879,0.054527
1783297493.659899,0.000000,0.698100,1,0,1.000000,0.000000,0.621169,0.055148
1783297493.660899,0.000000,0.698100,1,0,1.000000,0.000000,0.621448,0.055769
1783297493.661899,0.000000,0.698100,1,0,1.000000,0.000000,0.621717,0.056391
1783297493.662899,0.000000,0.698100,1,0,1.000000,0.000000,0.621974,0.057013
1783297493.663899,0.000000,0.698100,1,0,1.000000,0.000000,0.622222,0.057635
1783297493.664899,0.000000,0.698100,1,0,1.000000,0.000000,0.622460,0.058258
1783297493.665899,0.000000,0.698100,1,0,1.000000,0.000000,0.622689,0.058880
1783297493.666899,0.000000,0.698100,1,0,1.000000,0.000000,0.622908,0.059503
1783297493.667899,0.000000,0.698100,1,0,1.000000,0.000000,0.623119,0.060126
1783297493.668899,0.000000,0.698100,1,0,1.000000,0.000000,0.623322,0.060750
1783297493.669899,0.000000,0.698100,1,0,1.000000,0.000000,0.623517,0.061373
1783297493.670899,0.000000,0.698100,1,0,1.000000,0.000000,0.623704,0.061997
1783297493.671899,0.000000,0.698100,1,0,1.000000,0.000000,0.623884,0.062621
1783297493.672899,0.000000,0.698100,1,0,1.000000,0.000000,0.624057,0.063245
1783297493.673899,0.000000,0.698100,1,0,1.000000,0.000000,0.624223,0.063869
1783297493.674899,0.000000,0.698100,1,0,1.000000,0.000000,0.624382,0.064493
1783297493.675899,0.000000,0.698100,1,0,1.000000,0.000000,0.624535,0.065118
1783297493.676899,0.000000,0.698100,1,0,1.000000,0.000000,0.624683,0.065743
1783297493.677899,0.000000,0.698100,1,0,1.000000,0.000000,0.624824,0.066367
1783297493.678899,0.000000,0.698100,1,0,1.000000,0.000000,0.624960,0.066992
1783297493.679899,0.000000,0.698100,1,0,1.000000,0.000000,0.625090,0.067617
1783297493.680899,0.000000,0.698100,1,0,1.000000,0.000000,0.625216,0.068243
1783297493.681899,0.000000,0.698100,1,0,1.000000,0.000000,0.625336,0.068868
1783297493.682899,0.000000,0.698100,1,0,1.000000,0.000000,0.625452,0.069493
1783297493.683899,0.000000,0.698100,1,0,1.000000,0.000000,0.625564,0.070119
1783297493.684899,0.000000,0.698100,1,0,1.000000,0.000000,0.625670,0.070745
1783297493.685899,0.000000,0.698100,1,0,1.000000,0.000000,0.625773,0.071370
1783297493.686899,0.000000,0.698100,1,0,1.000000,0.000000,0.625872,0.071996
1783297493.687899,0.000000,0.698100,1,0,1.000000,0.000000,0.625967,0.072622
1783297493.688899,0.000000,0.698100,1,0,1.000000,0.000000,0.626058,0.073248
1783297493.689899,0.000000,0.698100,1,0,1.000000,0.000000,0.626145,0.073875
1783297493.690899,0.000000,0.698100,1,0,1.000000,0.000000,0.626229,0.074501
1783297493.691899,0.000000,0.698100,1,0,1.000000,0.000000,0.626310,0.075127
1783297493.692899,0.000000,0.698100,1,0,1.000000,0.000000,0.626388,0.075753
1783297493.693899,0.000000,0.698100,1,0,1.000000,0.000000,0.626462,0.076380
