time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783308920.052035,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.104069
1783308920.053035,0.104069,0.200000,0,1,1.000000,0.578162,0.007058,0.000007,0.104069
1783308920.054034,0.104069,0.200000,0,1,1.000000,0.578162,0.013839,0.000021,0.104069
1783308920.055035,0.104069,0.200000,0,1,1.000000,0.578162,0.020354,0.000041,0.104069
1783308920.056035,0.104069,0.200000,0,1,1.000000,0.578162,0.026614,0.000068,0.104069
1783308920.057034,0.104069,0.200000,0,1,1.000000,0.578162,0.032628,0.000100,0.104069
1783308920.058035,0.104069,0.200000,0,1,1.000000,0.578162,0.038407,0.000139,0.104069
1783308920.059035,0.104069,0.200000,0,1,1.000000,0.578162,0.043959,0.000183,0.104069
1783308920.060035,0.104069,0.200000,0,1,1.000000,0.578162,0.049293,0.000232,0.104069
1783308920.061035,0.104069,0.200000,0,1,1.000000,0.578162,0.054418,0.000287,0.104069
1783308920.062035,0.104069,0.200000,0,1,1.000000,0.578162,0.059342,0.000346,0.104069
1783308920.063035,0.104069,0.200000,0,1,1.000000,0.578162,0.064073,0.000410,0.104069
1783308920.064035,0.104069,0.200000,0,1,1.000000,0.578162,0.068619,0.000479,0.104069
1783308920.065035,0.104069,0.200000,0,1,1.000000,0.578162,0.072986,0.000552,0.104069
1783308920.066035,0.104069,0.200000,0,1,1.000000,0.578162,0.077182,0.000629,0.104069
1783308920.067035,0.104069,0.200000,0,1,1.000000,0.578162,0.081214,0.000710,0.104069
1783308920.068035,0.104069,0.200000,0,1,1.000000,0.578162,0.085087,0.000795,0.136069
1783308920.069035,0.104069,0.200000,0,1,1.000000,0.578162,0.088809,0.000884,0.136069
1783308920.070035,0.104069,0.200000,0,1,1.000000,0.578162,0.092385,0.000976,0.136069
1783308920.071035,0.104069,0.200000,0,1,1.000000,0.578162,0.095820,0.001072,0.136069
1783308920.072035,0.104069,0.200000,0,1,1.000000,0.578162,0.099121,0.001171,0.136069
1783308920.073035,0.104069,0.200000,0,1,1.000000,0.578162,0.102292,0.001274,0.136069
1783308920.074034,0.104069,0.200000,0,1,1.000000,0.578162,0.105339,0.001379,0.136069
1783308920.075035,0.104069,0.200000,0,1,1.000000,0.578162,0.108267,0.001487,0.136069
1783308920.076035,0.104069,0.200000,0,1,1.000000,0.578162,0.111079,0.001598,0.136069
1783308920.077035,0.104069,0.200000,0,1,1.000000,0.578162,0.113782,0.001712,0.136069
1783308920.078035,0.104069,0.000000,0,3,1.000000,0.578162,0.041858,0.001754,0.136069
1783308920.079035,0.104069,0.537261,1,0,1.000000,0.578162,0.059176,0.001813,0.136069
1783308920.080035,0.104069,0.537024,1,0,1.000000,0.578162,0.075807,0.001889,0.136069
1783308920.081035,0.104069,0.536721,1,0,1.000000,0.578162,0.091776,0.001981,0.136069
1783308920.082035,0.104069,0.536354,1,0,1.000000,0.578162,0.107105,0.002088,0.136069
1783308920.083035,0.104069,0.535926,1,0,1.000000,0.578162,0.121818,0.002210,0.136069
1783308920.084035,0.104069,0.663438,1,0,1.000000,0.578162,0.140453,0.002350,0.168069
1783308920.085035,0.104069,0.662877,1,0,1.000000,0.578162,0.158339,0.002508,0.168069
1783308920.086035,0.104069,0.662243,1,0,1.000000,0.578162,0.175500,0.002684,0.168069
1783308920.087035,0.104069,0.661541,1,0,1.000000,0.578162,0.191964,0.002876,0.168069
1783308920.088035,0.104069,0.660773,1,0,1.000000,0.578162,0.207756,0.003084,0.168069
1783308920.089035,0.104069,0.659942,1,0,1.000000,0.578162,0.222899,0.003306,0.168069
1783308920.090034,0.104069,0.659051,1,0,1.000000,0.578162,0.237416,0.003544,0.168069
1783308920.091035,0.104069,0.658101,1,0,1.000000,0.578162,0.251331,0.003795,0.168069
1783308920.092035,0.104069,0.657096,1,0,1.000000,0.578162,0.264665,0.004060,0.168069
1783308920.093035,0.104069,0.656037,1,0,1.000000,0.578162,0.277438,0.004337,0.168069
1783308920.094034,0.104069,0.654927,1,0,1.000000,0.578162,0.289672,0.004627,0.168069
1783308920.095035,0.104069,0.653769,1,0,1.000000,0.578162,0.301385,0.004928,0.168069
1783308920.096035,0.104069,0.652563,1,0,1.000000,0.578162,0.312596,0.005241,0.168069
1783308920.097035,0.104069,0.651313,1,0,1.000000,0.578162,0.323323,0.005564,0.168069
1783308920.098035,0.104069,0.650020,1,0,1.000000,0.578162,0.333585,0.005898,0.168069
1783308920.099035,0.104069,0.648685,1,0,1.000000,0.578162,0.343396,0.006241,0.168069
1783308920.100035,0.104069,0.775312,1,0,1.000000,0.578162,0.357292,0.006599,0.200069
1783308920.101035,0.104069,0.773882,1,0,1.000000,0.578162,0.370592,0.006969,0.200069
1783308920.102035,0.104069,0.772400,1,0,1.000000,0.578162,0.383319,0.007352,0.200069
1783308920.103035,0.104069,0.770867,1,0,1.000000,0.578162,0.395492,0.007748,0.200069
1783308920.104035,0.104069,0.769285,1,0,1.000000,0.578162,0.407132,0.008155,0.200069
1783308920.105035,0.104069,0.767656,1,0,1.000000,0.578162,0.418259,0.008573,0.200069
1783308920.106035,0.104069,0.765983,1,0,1.000000,0.578162,0.428890,0.009002,0.200069
1783308920.107035,0.104069,0.764268,1,0,1.000000,0.578162,0.439043,0.009441,0.200069
1783308920.108035,0.104069,0.762511,1,0,1.000000,0.578162,0.448737,0.009890,0.200069
1783308920.109035,0.104069,0.760717,1,0,1.000000,0.578162,0.457987,0.010348,0.200069
1783308920.110034,0.104069,0.758885,1,0,1.000000,0.578162,0.466810,0.010815,0.200069
1783308920.111035,0.104069,0.757017,1,0,1.000000,0.578162,0.475221,0.011290,0.200069
1783308920.112035,0.104069,0.755116,1,0,1.000000,0.578162,0.483235,0.011773,0.200069
1783308920.113035,0.104069,0.753184,1,0,1.000000,0.578162,0.490866,0.012264,0.200069
1783308920.114035,0.104069,0.751220,1,0,1.000000,0.578162,0.498129,0.012762,0.200069
1783308920.115035,0.104069,0.749228,1,0,1.000000,0.578162,0.505037,0.013267,0.200069
1783308920.116035,0.104069,0.875207,1,0,1.000000,0.578162,0.516120,0.013783,0.232069
1783308920.117035,0.104069,0.873143,1,0,1.000000,0.578162,0.526695,0.014310,0.232069
1783308920.118035,0.104069,0.871036,1,0,1.000000,0.578162,0.536782,0.014847,0.232069
1783308920.119035,0.104069,0.868889,1,0,1.000000,0.578162,0.546397,0.015393,0.232069
