time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783406935.514458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.515459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.516459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.517458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.518458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.519459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.520459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.521459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.522459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.523459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.524459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.525459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.526459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.527459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.528459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.529459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.530458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.531459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.532459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.533458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.534458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.535459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.536458,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.537459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.538459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.539459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.540459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.541459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.542459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
1783406935.543459,0.000000,0.000000,0,0,1.000000,0.000000,0.000000,0.000000,0.000000
